"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5OQsiBsky2k2kDKy2bX2eT","Learn to Fly","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:28q2N44ocJECgf8sbHEDfY","There Is Nothing Left To Lose","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1999-11-02","https://i.scdn.co/image/ab67616d0000b2736c52084ed1f1748f213783b3","1","3","235293","https://p.scdn.co/mp3-preview/410537fea88c9d30eb7642d14f4658dd9b34afec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USRW39900002","spotify:user:212evkjibuisarid6stvinxoq","2026-03-18T19:59:42Z"
"spotify:track:4dVbhS6OiYvFikshyaQaCN","My Hero","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:30ly6F6Xl0TKmyBCU50Khv","The Colour And The Shape","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1997-05-20","https://i.scdn.co/image/ab67616d0000b2734bc9bcdbdc9ac34e37d8b6bb","1","7","260026","https://p.scdn.co/mp3-preview/5ffdbc197d59a4bc15611a49ef51f23009432dbb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USRW29600007","spotify:user:212evkjibuisarid6stvinxoq","2026-03-18T19:59:42Z"
"spotify:track:592nTDJAy8AucV4KKIDCmA","Generator","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:28q2N44ocJECgf8sbHEDfY","There Is Nothing Left To Lose","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1999-11-02","https://i.scdn.co/image/ab67616d0000b2736c52084ed1f1748f213783b3","1","5","227560","https://p.scdn.co/mp3-preview/cced1a74face8d7cf54b525d4ea68fc10defa2a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USRW39900006","spotify:user:212evkjibuisarid6stvinxoq","2026-03-19T00:33:30Z"
"spotify:track:3QmesrvdbPjwf7i40nht1D","Everlong - Acoustic Version","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:1zCNrbPpz5OLSr6mSpPdKm","Greatest Hits","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2009-11-03","https://i.scdn.co/image/ab67616d0000b273136d7250568820409f8fdd60","1","16","250906","https://p.scdn.co/mp3-preview/2e6b93a170949138d3518cd0325edd4387a7a087?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USRW30900002","spotify:user:212evkjibuisarid6stvinxoq","2026-03-19T00:33:42Z"
"spotify:track:26iWAXoJRiUv9yYzxYBqSv","The Glass","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:4wp4aWWpoYfNcspimVAnel","But Here We Are","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2023-06-02","https://i.scdn.co/image/ab67616d0000b2736fc1b2193f39c1eac7ad253d","1","5","229783","https://p.scdn.co/mp3-preview/9f089c6372019451a5ba0060d86cab48fa037cb2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USRW32300020","spotify:user:212evkjibuisarid6stvinxoq","2026-03-19T00:34:00Z"
"spotify:track:0csL34JYEsHmFBAZ1fgf8G","Nothing At All","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:4wp4aWWpoYfNcspimVAnel","But Here We Are","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2023-06-02","https://i.scdn.co/image/ab67616d0000b2736fc1b2193f39c1eac7ad253d","1","6","207780","https://p.scdn.co/mp3-preview/ad62633f554a31d924ccafb101194e476474c1aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USRW32300021","spotify:user:212evkjibuisarid6stvinxoq","2026-03-19T00:34:08Z"
"spotify:track:6pb5BBnIM5IM7R1cqag6rE","Big Me","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:4EnNuo8fG7dMoxMefbApRY","Foo Fighters","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1995-07-04","https://i.scdn.co/image/ab67616d0000b27352844939eaf38ec62110fcde","1","3","132840","https://p.scdn.co/mp3-preview/e6b7ad383be6535548ed2dd0709e3ff724910e3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USRW29500002","spotify:user:212evkjibuisarid6stvinxoq","2026-03-19T00:34:27Z"
"spotify:track:5DaQcH3Xc1gVGb4w3RJSmR","Walking After You - Single Mix","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:0K73wqY6bbO0E2h4uCdgT6","00979725","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2019-12-20","https://i.scdn.co/image/ab67616d0000b27395ee6cf07f4cbfad6ff574ef","1","6","248000","https://p.scdn.co/mp3-preview/b76e3e7b7313d9a29c61797d708fc2a93e1bb643?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USRW31900015","spotify:user:212evkjibuisarid6stvinxoq","2026-03-19T00:35:50Z"
"spotify:track:503EAR0obBJvbjiHYw3FNI","See You - Acoustic","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:0K73wqY6bbO0E2h4uCdgT6","00979725","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2019-12-20","https://i.scdn.co/image/ab67616d0000b27395ee6cf07f4cbfad6ff574ef","1","2","147720","https://p.scdn.co/mp3-preview/5009d2662fed3b11cd9c704fa21f96faff80e138?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USRW30700006","spotify:user:212evkjibuisarid6stvinxoq","2026-03-19T00:36:08Z"
"spotify:track:2ifYUfvMNbXQDPJEyk68rP","Ain't It The Life","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:28q2N44ocJECgf8sbHEDfY","There Is Nothing Left To Lose","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1999-11-02","https://i.scdn.co/image/ab67616d0000b2736c52084ed1f1748f213783b3","1","10","254773","https://p.scdn.co/mp3-preview/c93e74d1c4c3b5965f88e92b597ce06a06c07945?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USRW39900011","spotify:user:212evkjibuisarid6stvinxoq","2026-03-19T00:36:41Z"
